iter	RMSE
0	75145.6549
1	73019.4811
2	71308.41006
3	69668.60406
4	67965.42491
5	66299.33653
6	64771.4912
7	63206.44437
8	61731.11408
9	60340.09718
10	58937.95462
11	57584.87595
12	56352.80606
13	55041.4571
14	53785.09288
15	52563.56018
16	51498.72469
17	50415.28376
18	49374.48514
19	48528.99761
20	47614.78237
21	46753.35581
22	45867.37273
23	45044.89731
24	44224.30103
25	43427.17468
26	42699.069
27	42080.14268
28	41386.50227
29	40800.79757
30	40130.63696
31	39581.12894
32	38928.77391
33	38384.70998
34	37845.79832
35	37354.03212
36	36886.30531
37	36394.41559
38	35845.78589
39	35329.73652
40	34867.81203
41	34441.647
42	33914.85605
43	33503.36732
44	33087.9697
45	32680.03489
46	32333.70411
47	31967.51259
48	31579.59942
49	31294.39596
50	30935.16264
51	30611.15421
52	30222.70677
53	29966.08855
54	29673.423
55	29426.92096
56	29143.35924
57	28831.84051
58	28563.37948
59	28312.64149
60	28073.00827
61	27870.37749
62	27651.78028
63	27444.69142
64	27221.39905
65	27004.03088
66	26769.62594
67	26573.19295
68	26392.47128
69	26224.63419
70	26045.87886
71	25808.91692
72	25606.34186
73	25415.54382
74	25233.4726
75	25082.26005
76	24949.23411
77	24784.91385
78	24617.92835
79	24457.03415
80	24304.97077
81	24122.33524
82	23997.08653
83	23860.36535
84	23696.94035
85	23540.26629
86	23367.50616
87	23226.13066
88	23102.63131
89	22969.88718
90	22854.99166
91	22750.6782
92	22615.14806
93	22504.91149
94	22371.8257
95	22258.35184
96	22150.34772
97	22052.47507
98	21963.87288
99	21889.43091
100	21803.89882
101	21717.78131
102	21632.2287
103	21531.25928
104	21454.73021
105	21347.79296
106	21266.98532
107	21208.31342
108	21148.70934
109	21063.15205
110	20998.07058
111	20941.95308
112	20864.65962
113	20794.20899
114	20709.34248
115	20621.16699
116	20540.73488
117	20470.22165
118	20378.00843
119	20312.02235
120	20253.90428
121	20197.34549
122	20138.37336
123	20053.99018
124	19986.36287
125	19922.02834
126	19864.01346
127	19798.74645
128	19771.75681
129	19692.0409
130	19638.92272
131	19578.67145
132	19517.57097
133	19463.95092
134	19418.64662
135	19394.22867
136	19339.7243
137	19315.54881
138	19259.53632
139	19190.08015
140	19127.40273
141	19087.02471
142	19068.50354
143	19023.27259
144	18956.63118
145	18908.36154
146	18857.39194
147	18787.10898
148	18745.20726
149	18675.03944
150	18626.22786
151	18578.96921
152	18550.50745
153	18484.83302
154	18451.65798
155	18387.9409
156	18370.64534
157	18334.25865
158	18267.95544
159	18221.5768
160	18149.19863
161	18127.09461
162	18099.86646
163	18045.64333
164	17994.75921
165	17924.49779
166	17878.41698
167	17826.01418
168	17805.28493
169	17760.16114
170	17746.87423
171	17726.7133
172	17691.84639
173	17637.64758
174	17610.67719
175	17592.51252
176	17549.89515
177	17506.29381
178	17456.35439
179	17399.53225
180	17377.49307
181	17324.24841
182	17272.32122
183	17252.49704
184	17201.11892
185	17187.6176
186	17141.22438
187	17100.36586
188	17092.12073
189	17075.60837
190	17042.05786
191	17014.40525
192	16962.69607
193	16947.38158
194	16909.5334
195	16863.44432
196	16852.11561
197	16839.43073
198	16824.44289
199	16777.70939
200	16745.37736
201	16707.78679
202	16685.0987
203	16644.43832
204	16609.6277
205	16563.92581
206	16526.69652
207	16489.35319
208	16452.48132
209	16404.16797
210	16389.01992
211	16344.77269
212	16298.98497
213	16261.06984
214	16229.23649
215	16188.65194
216	16159.22432
217	16144.25229
218	16131.97187
219	16123.1371
220	16086.74785
221	16042.54486
222	16032.9776
223	15983.47761
224	15954.8463
225	15927.62581
226	15897.13315
227	15885.72178
228	15863.76787
229	15832.87391
230	15786.11351
231	15745.07495
232	15704.8818
233	15672.18545
234	15663.887
235	15639.81085
236	15603.29196
237	15569.67508
238	15525.36144
239	15476.26501
240	15449.85288
241	15416.57928
242	15380.77582
243	15360.5201
244	15310.17018
245	15283.25589
246	15268.4763
247	15239.06108
248	15206.36443
249	15182.98304
250	15142.51214
251	15128.24033
252	15090.6394
253	15055.1374
254	15017.95327
255	14986.33191
256	14957.3252
257	14938.32001
258	14899.84827
259	14856.14926
260	14816.92765
261	14778.338
262	14741.93854
263	14729.04295
264	14695.44572
265	14654.48302
266	14630.1269
267	14603.36045
268	14551.27922
269	14517.16119
270	14489.04881
271	14452.97468
272	14414.15408
273	14384.41177
274	14364.76826
275	14343.66186
276	14316.84257
277	14278.07762
278	14244.43645
279	14214.87352
280	14186.88711
281	14154.079
282	14131.12899
283	14112.94184
284	14089.34096
285	14054.74714
286	14033.66417
287	13994.76332
288	13980.87233
289	13953.03744
290	13934.72266
291	13914.06522
292	13900.6875
293	13877.0026
294	13863.29809
295	13833.51871
296	13799.44184
297	13780.73559
298	13755.91084
299	13720.73583
300	13695.9903
301	13671.02205
302	13647.48961
303	13628.86507
304	13613.04166
305	13597.69491
306	13590.71394
307	13573.9404
308	13532.25501
309	13506.68456
310	13471.87201
311	13444.35184
312	13418.39341
313	13391.46334
314	13366.47708
315	13358.49243
316	13336.93553
