iter	Passed	Remaining
0	9	9359
1	17	8640
2	26	8846
3	34	8632
4	43	8740
5	53	8846
6	61	8764
7	71	8829
8	81	8953
9	92	9154
10	104	9354
11	113	9362
12	124	9448
13	134	9482
14	143	9399
15	153	9417
16	161	9322
17	171	9334
18	181	9368
19	191	9372
20	200	9350
21	209	9294
22	218	9270
23	226	9214
24	236	9226
25	244	9166
26	254	9168
27	262	9118
28	272	9119
29	281	9094
30	292	9130
31	301	9129
32	309	9083
33	319	9075
34	328	9044
35	338	9059
36	348	9067
37	356	9026
38	366	9020
39	374	8979
40	386	9038
41	397	9066
42	405	9024
43	415	9019
44	424	9001
45	435	9033
46	444	9014
47	452	8980
48	462	8978
49	470	8948
50	480	8949
51	489	8923
52	500	8941
53	510	8947
54	519	8930
55	529	8923
56	537	8898
57	547	8895
58	555	8858
59	564	8843
60	572	8812
61	581	8799
62	589	8771
63	600	8778
64	609	8772
65	618	8752
66	628	8748
67	636	8723
68	645	8713
69	654	8692
70	663	8686
71	673	8676
72	681	8659
73	691	8650
74	699	8625
75	709	8620
76	718	8614
77	730	8634
78	742	8657
79	758	8722
80	781	8869
81	792	8870
82	800	8842
83	810	8843
84	820	8833
85	829	8811
86	838	8802
87	846	8776
88	856	8766
89	864	8742
90	874	8731
91	882	8707
92	891	8694
93	899	8670
94	911	8680
95	920	8668
96	928	8644
97	938	8634
98	946	8610
99	955	8596
100	963	8574
101	973	8567
102	981	8544
103	990	8537
104	1000	8529
105	1008	8505
106	1017	8491
107	1027	8486
108	1037	8478
109	1045	8457
110	1054	8446
111	1063	8432
112	1072	8418
113	1081	8404
114	1089	8387
115	1099	8379
116	1108	8363
117	1118	8359
118	1127	8347
119	1136	8337
120	1145	8318
121	1153	8303
122	1162	8286
123	1172	8280
124	1181	8267
125	1189	8251
126	1198	8240
127	1207	8224
128	1217	8217
129	1225	8199
130	1253	8312
131	1264	8314
132	1272	8298
133	1282	8290
134	1290	8269
135	1299	8254
136	1307	8236
137	1317	8229
138	1327	8220
139	1337	8213
140	1346	8200
141	1354	8187
142	1364	8179
143	1372	8161
144	1382	8150
145	1390	8135
146	1399	8119
147	1408	8107
148	1417	8094
149	1426	8084
150	1436	8076
151	1446	8067
152	1453	8046
153	1463	8039
154	1471	8021
155	1483	8024
156	1492	8013
157	1500	7996
158	1509	7985
159	1518	7969
160	1528	7966
161	1537	7951
162	1545	7935
163	1554	7922
164	1562	7906
165	1573	7906
166	1582	7891
167	1591	7880
168	1595	7844
169	1604	7835
170	1612	7818
171	1622	7810
172	1630	7793
173	1640	7785
174	1649	7775
175	1658	7766
176	1667	7751
177	1675	7739
178	1685	7728
179	1693	7713
180	1697	7681
181	1711	7691
182	1722	7690
183	1731	7679
184	1744	7684
185	1748	7652
186	1757	7640
187	1766	7630
188	1774	7615
189	1784	7605
190	1792	7590
191	1801	7580
192	1809	7565
193	1816	7545
194	1823	7529
195	1833	7519
196	1841	7504
197	1845	7473
198	1855	7470
199	1865	7460
200	1873	7446
201	1882	7435
202	1890	7421
203	1899	7410
204	1907	7397
205	1916	7388
206	1924	7373
207	1933	7363
208	1942	7350
209	1952	7345
210	1961	7335
211	1971	7328
212	1980	7319
213	1989	7305
214	1998	7296
215	2006	7283
216	2015	7273
217	2023	7259
218	2032	7249
219	2036	7221
220	2046	7213
221	2057	7210
222	2064	7192
223	2072	7178
224	2081	7168
225	2088	7153
226	2098	7145
227	2106	7133
228	2115	7123
229	2123	7110
230	2133	7103
231	2143	7096
232	2160	7110
233	2169	7102
234	2176	7085
235	2184	7070
236	2193	7063
237	2202	7050
238	2211	7042
239	2219	7029
240	2229	7020
241	2237	7008
242	2247	7000
243	2256	6991
244	2266	6985
245	2276	6976
246	2284	6964
247	2294	6957
248	2303	6947
249	2314	6942
250	2323	6931
251	2331	6919
252	2340	6911
253	2349	6899
254	2360	6897
255	2370	6889
256	2380	6883
257	2390	6875
258	2398	6863
259	2408	6856
260	2417	6845
261	2426	6835
262	2435	6826
263	2444	6814
264	2454	6806
265	2463	6796
266	2473	6790
267	2483	6782
268	2492	6773
269	2502	6766
270	2510	6754
271	2520	6744
272	2528	6732
273	2538	6725
274	2545	6711
275	2555	6703
276	2564	6692
277	2572	6681
278	2581	6672
279	2592	6665
280	2602	6658
281	2610	6646
282	2619	6636
283	2627	6623
284	2637	6616
285	2646	6606
286	2655	6596
287	2664	6588
288	2673	6577
289	2685	6575
290	2695	6567
291	2706	6562
292	2719	6563
293	2732	6560
294	2742	6554
295	2756	6556
296	2773	6565
297	2783	6557
298	2791	6544
299	2803	6540
300	2812	6532
301	2821	6520
302	2830	6511
303	2839	6500
304	2850	6495
305	2860	6487
306	2868	6475
307	2878	6467
308	2888	6458
309	2900	6455
310	2909	6446
311	2918	6434
312	2927	6426
313	2935	6414
314	2945	6405
315	2954	6394
316	2963	6384
317	2971	6373
318	2981	6364
319	2991	6356
320	2999	6345
321	3010	6338
322	3019	6329
323	3029	6320
324	3038	6310
325	3047	6300
326	3056	6290
327	3064	6278
328	3074	6271
329	3083	6259
330	3092	6251
331	3101	6240
332	3112	6234
333	3124	6230
334	3133	6219
335	3142	6210
336	3153	6205
337	3162	6193
338	3172	6185
339	3180	6173
340	3190	6165
341	3199	6155
342	3208	6146
343	3217	6136
344	3228	6129
345	3238	6121
346	3246	6110
347	3256	6101
348	3264	6088
349	3273	6080
350	3283	6071
351	3293	6062
352	3302	6053
353	3311	6042
354	3321	6034
355	3330	6025
356	3339	6015
357	3348	6005
358	3356	5993
359	3366	5985
360	3375	5974
361	3385	5966
362	3393	5955
363	3403	5946
364	3412	5936
365	3423	5929
366	3432	5920
367	3440	5909
368	3449	5899
369	3457	5887
370	3467	5879
371	3475	5867
372	3485	5858
373	3493	5847
374	3502	5837
375	3511	5828
376	3520	5817
377	3529	5808
378	3539	5799
379	3550	5793
380	3559	5782
381	3568	5772
382	3577	5763
383	3585	5751
384	3595	5742
385	3603	5732
386	3613	5723
387	3621	5712
388	3632	5706
389	3644	5700
390	3652	5688
391	3662	5680
392	3670	5668
393	3679	5659
394	3694	5658
395	3704	5650
396	3714	5642
397	3726	5636
398	3747	5644
399	3759	5639
400	3768	5628
401	3779	5622
402	3794	5620
403	3807	5617
404	3817	5609
405	3830	5603
406	3843	5599
407	3859	5599
408	3868	5590
409	3878	5581
410	3886	5569
411	3895	5560
412	3905	5550
413	3913	5539
414	3923	5530
415	3931	5518
416	3940	5509
417	3950	5499
418	3960	5492
419	3971	5484
